sh_code;sh_level;kingdom;phylum;class;order;family;genus;species;lowest_taxon;lowest_taxon_level
SH0981287.10FU;1,5;Fungi;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus;Cryptococcus_watticus;Cryptococcus_watticus;species
SH0982395.10FU;1,5;Fungi;Fungi_phy_unspecified;Fungi_cls_unspecified;Fungi_ord_unspecified;Fungi_fam_unspecified;Fungi_gen_unspecified;Fungi_sp;Fungi_gen_unspecified;genus
SH0993527.10FU;1,5;Fungi;Ascomycota;Ascomycota_cls_unspecified;Ascomycota_ord_unspecified;Ascomycota_fam_unspecified;Ascomycota_gen_unspecified;Ascomycota_sp;Ascomycota_gen_unspecified;genus
SH0996153.10FU;1,5;Fungi;Ascomycota;Leotiomycetes;Helotiales;Tricladiaceae;Tricladium;Tricladium_terrestre;Tricladium_terrestre;species
SH1002630.10FU;1,5;Fungi;Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae;Sporothrix;Sporothrix_mexicana;Sporothrix_mexicana;species
SH1003869.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Psathyrella;Psathyrella_senex;Psathyrella_senex;species
SH1003876.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Coprinellus;Coprinellus_disseminatus;Coprinellus_disseminatus;species
SH1003977.10FU;1,5;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Psathyrella;Psathyrella_impexa;Psathyrella_impexa;species
SH1005057.10FU;1,5;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae;Ophiocordyceps;Ophiocordyceps_retorta;Ophiocordyceps_retorta;species
SH1005144.10FU;1,5;Fungi;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;Orbilia;Orbilia_xanthoguttulata;Orbilia_xanthoguttulata;species
SH1009434.10FU;1,5;Fungi;Basidiomycota;Cystobasidiomycetes;Erythrobasidiales;Erythrobasidiaceae;Erythrobasidium;Erythrobasidium_sp;Erythrobasidium;genus
